grid_id,経度,緯度,市役所からの距離_m,DEM地表種別,標高_m,最近接河川,河川からの距離_m,内水浸水ランク,内水想定浸水深,外水浸水ランク_num,外水想定浸水深,最大ランク河川
3891,132.4651806,34.3814266,1006.2,内水面,0.34,京橋川,52.8,00,想定区域外,0,想定区域外,
3892,132.465167,34.3818771,984.9,地表面,3.84,京橋川,85.7,00,想定区域外,2,0.5～3.0m未満,元安川・太田川・旧太田川
3893,132.4651534,34.3823276,965.7,地表面,1.94,京橋川,118.7,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川・旧太田川
3894,132.4651398,34.3827781,948.7,地表面,0.84,京橋川,151.6,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3895,132.4651263,34.3832285,934.1,地表面,1.14,京橋川,184.6,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3896,132.4651127,34.383679,922.0,地表面,1.04,京橋川,217.6,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3897,132.4650991,34.3841295,912.4,地表面,0.84,京橋川,250.5,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3898,132.4650855,34.38458,905.5,地表面,1.04,京橋川,283.5,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3899,132.4650719,34.3850304,901.4,地表面,0.74,京橋川,316.4,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3900,132.4650583,34.3854809,900.0,地表面,0.84,京橋川,347.6,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3901,132.4650447,34.3859314,901.4,地表面,1.14,京橋川,376.7,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3902,132.4650312,34.3863819,905.5,地表面,0.74,京橋川,403.3,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3903,132.4650176,34.3868323,912.4,地表面,1.04,京橋川,426.2,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3904,132.465004,34.3872828,922.0,地表面,0.94,京橋川,449.2,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3905,132.4649904,34.3877333,934.1,地表面,0.74,京橋川,472.5,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3906,132.4649768,34.3881838,948.7,地表面,1.34,京橋川,484.3,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3907,132.4649632,34.3886342,965.7,地表面,0.74,京橋川,471.4,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3908,132.4649496,34.3890847,984.9,地表面,1.14,京橋川,458.5,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3909,132.464936,34.3895352,1006.2,地表面,0.64,京橋川,448.8,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3910,132.4649225,34.3899857,1029.6,地表面,0.74,京橋川,442.2,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3911,132.4649089,34.3904361,1054.8,地表面,1.04,京橋川,435.6,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3912,132.4648953,34.3908866,1081.7,地表面,1.04,京橋川,432.1,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3913,132.4648817,34.3913371,1110.2,地表面,1.34,京橋川,430.0,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3914,132.4648681,34.3917876,1140.2,地表面,1.24,京橋川,429.5,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3915,132.4648545,34.392238,1171.5,地表面,1.44,京橋川,431.9,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3916,132.4648409,34.3926885,1204.2,地表面,1.44,京橋川,435.2,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3917,132.4648273,34.393139,1237.9,地表面,1.54,京橋川,443.7,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3918,132.4648137,34.3935895,1272.8,地表面,1.34,京橋川,454.0,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3919,132.4648001,34.3940399,1308.6,地表面,1.14,京橋川,464.1,02,0.20～0.49m,4,5.0～10.0m未満,元安川・太田川・旧太田川
3920,132.4647865,34.3944904,1345.4,地表面,1.54,京橋川,474.0,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3921,132.464773,34.3949409,1382.9,地表面,1.24,京橋川,485.6,02,0.20～0.49m,4,5.0～10.0m未満,元安川・太田川・旧太田川
3922,132.4647594,34.3953913,1421.3,地表面,1.34,京橋川,498.3,02,0.20～0.49m,4,5.0～10.0m未満,元安川・太田川・旧太田川
3923,132.4647458,34.3958418,1460.3,地表面,1.44,京橋川,511.0,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3924,132.4647322,34.3962923,1500.0,地表面,1.34,京橋川,523.7,01,0.01～0.19m,4,5.0～10.0m未満,元安川・太田川・旧太田川
3925,132.4647186,34.3967428,1540.3,地表面,1.74,京橋川,536.4,02,0.20～0.49m,4,5.0～10.0m未満,元安川・太田川・旧太田川
3926,132.464705,34.3971932,1581.1,地表面,1.44,京橋川,549.1,01,0.01～0.19m,4,5.0～10.0m未満,元安川・太田川・旧太田川
3927,132.4646914,34.3976437,1622.5,地表面,1.74,京橋川,515.6,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3928,132.4646778,34.3980942,1664.3,地表面,1.84,京橋川,480.4,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3929,132.4646642,34.3985447,1706.6,地表面,2.44,京橋川,445.3,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3930,132.4646506,34.3989951,1749.3,地表面,2.04,京橋川,411.6,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3931,132.464637,34.3994456,1792.3,地表面,1.84,京橋川,380.5,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3932,132.4646234,34.3998961,1835.8,地表面,2.54,京橋川,350.0,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3933,132.4646098,34.4003466,1879.5,地表面,2.54,京橋川,323.7,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3934,132.4645962,34.400797,1923.5,地表面,2.34,京橋川,303.3,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3935,132.4645826,34.4012475,1967.9,地表面,2.74,京橋川,287.6,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3936,132.4660769,34.3697255,1991.2,地表面,-0.06,京橋川,519.1,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
3937,132.4660633,34.370176,1947.4,地表面,0.04,京橋川,507.7,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
3938,132.4660498,34.3706265,1903.9,地表面,-0.36,京橋川,500.6,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3939,132.4660362,34.3710769,1860.8,地表面,0.14,京橋川,494.1,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3940,132.4660226,34.3715274,1818.0,地表面,0.04,京橋川,489.3,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3941,132.466009,34.3719779,1775.5,地表面,0.14,京橋川,485.4,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3942,132.4659955,34.3724284,1733.5,地表面,0.14,京橋川,481.6,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3943,132.4659819,34.3728788,1691.9,地表面,-0.16,京橋川,477.8,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
